item_id,rater_a,rater_b
item_0276,1,8
item_0277,1,9
item_0278,1,10
item_0279,2,3
item_0280,2,4
item_0281,2,5
item_0282,2,6
item_0283,2,7
item_0284,2,8
item_0285,2,9
item_0286,2,10
item_0287,3,4
item_0288,3,5
item_0289,3,6
item_0290,3,7
item_0291,3,8
item_0292,3,9
item_0293,3,10
item_0294,4,5
item_0295,4,6
item_0296,4,7
item_0297,4,8
item_0298,4,9
item_0299,4,10
item_0300,5,6
item_0301,5,7
item_0302,5,8
item_0303,5,9
item_0304,5,10
item_0305,6,7
item_0306,6,8
item_0307,6,9
item_0308,6,10
item_0309,7,8
item_0310,7,9
item_0311,7,10
item_0312,8,9
item_0313,8,10
item_0314,9,10
item_0315,1,2
item_0316,1,3
item_0317,1,4
item_0318,1,5
item_0319,1,6
item_0320,1,7
item_0321,1,8
item_0322,1,9
item_0323,1,10
item_0324,2,3
item_0325,2,4
item_0326,2,5
item_0327,2,6
item_0328,2,7
item_0329,2,8
item_0330,2,9
item_0331,2,10
item_0332,3,4
item_0333,3,5
item_0334,3,6
item_0335,3,7
item_0336,3,8
item_0337,3,9
item_0338,3,10
item_0339,4,5
item_0340,4,6
item_0341,4,7
item_0342,4,8
item_0343,4,9
item_0344,4,10
item_0345,5,6
item_0346,5,7
item_0347,5,8
item_0348,5,9
item_0349,5,10
item_0350,6,7
item_0351,6,8
item_0352,6,9
item_0353,6,10
item_0354,7,8
item_0355,7,9
item_0356,7,10
item_0357,8,9
item_0358,8,10
item_0359,9,10
item_0360,1,2
item_0361,1,3
item_0362,1,4
item_0363,1,5
item_0364,1,6
item_0365,1,7
item_0366,1,8
item_0367,1,9
item_0368,1,10
item_0369,2,3
item_0370,2,4
item_0371,2,5
item_0372,2,6
item_0373,2,7
item_0374,2,8
item_0375,2,9
item_0376,2,10
item_0377,3,4
item_0378,3,5
item_0379,3,6
item_0380,3,7
item_0381,3,8
item_0382,3,9
item_0383,3,10
item_0384,4,5
item_0385,4,6
item_0386,4,7
item_0387,4,8
item_0388,4,9
item_0389,4,10
item_0390,5,6
item_0391,5,7
item_0392,5,8
item_0393,5,9
item_0394,5,10
item_0395,6,7
item_0396,6,8
item_0397,6,9
item_0398,6,10
item_0399,7,8
item_0400,7,9
item_0401,7,10
item_0402,8,9
item_0403,8,10
item_0404,9,10
item_0405,1,2
item_0406,1,3
item_0407,1,4
item_0408,1,5
item_0409,1,6
item_0410,1,7
item_0411,1,8
item_0412,1,9
item_0413,1,10
item_0414,2,3
item_0415,2,4
item_0416,2,5
item_0417,2,6
item_0418,2,7
item_0419,2,8
item_0420,2,9
item_0421,2,10
item_0422,3,4
item_0423,3,5
item_0424,3,6
item_0425,3,7
item_0426,3,8
item_0427,3,9
item_0428,3,10
item_0429,4,5
item_0430,4,6
item_0431,4,7
item_0432,4,8
item_0433,4,9
item_0434,4,10
item_0435,5,6
item_0436,5,7
item_0437,5,8
item_0438,5,9
item_0439,5,10
item_0440,6,7
item_0441,6,8
item_0442,6,9
item_0443,6,10
item_0444,7,8
item_0445,7,9
item_0446,7,10
item_0447,8,9
item_0448,8,10
item_0449,9,10
item_0450,1,2
item_0451,1,3
item_0452,1,4
item_0453,1,5
item_0454,1,6
item_0455,1,7
item_0456,1,8
item_0457,1,9
item_0458,1,10
item_0459,2,3
item_0460,2,4
item_0461,2,5
item_0462,2,6
item_0463,2,7
item_0464,2,8
item_0465,2,9
item_0466,2,10
item_0467,3,4
item_0468,3,5
item_0469,3,6
item_0470,3,7
item_0471,3,8
item_0472,3,9
item_0473,3,10
item_0474,4,5
item_0475,4,6
item_0476,4,7
item_0477,4,8
item_0478,4,9
item_0479,4,10
item_0480,5,6
item_0481,5,7
item_0482,5,8
item_0483,5,9
item_0484,5,10
item_0485,6,7
item_0486,6,8
item_0487,6,9
item_0488,6,10
item_0489,7,8
item_0490,7,9
item_0491,7,10
item_0492,8,9
item_0493,8,10
item_0494,9,10
item_0495,1,2
item_0496,1,3
item_0497,1,4
item_0498,1,5
item_0499,1,6
