item_id,gpt-5.2,claude-haiku-4.5,gemini-2.5-flash,perplexity-sonar,human_1,human_2,random_human
item_0084,6.0,6.0,8.0,4.0,6.0,6.0,6.0
item_0085,8.0,6.0,8.0,9.0,6.0,6.0,6.0
item_0086,7.0,6.0,8.0,8.0,6.0,6.0,6.0
item_0087,7.0,6.0,9.0,6.0,8.0,7.0,7.537
item_0088,6.0,5.0,8.0,7.0,5.0,5.0,5.0
item_0089,6.0,6.0,8.0,8.0,6.0,5.0,5.496
item_0090,5.0,5.0,7.0,7.0,6.0,4.0,5.026
item_0091,7.0,7.0,9.0,7.0,6.0,5.0,5.505000000000001
item_0092,6.0,4.0,5.0,5.0,5.0,4.0,4.494
item_0093,8.0,6.0,9.0,9.0,8.0,7.0,7.475
item_0094,7.0,6.0,9.0,9.0,8.0,7.0,7.486
item_0095,6.0,5.0,7.0,7.0,5.0,5.0,5.0
item_0096,8.0,7.0,8.0,10.0,8.0,9.0,8.497
item_0097,6.0,5.0,8.0,3.0,5.0,4.0,4.5009999999999994
item_0098,6.0,4.0,8.0,3.0,5.0,4.0,4.481
item_0099,8.0,6.0,9.0,9.0,5.0,5.0,5.0
item_0100,6.0,4.0,3.0,5.0,4.0,4.0,4.0
item_0101,4.0,3.0,5.0,3.0,4.0,4.0,4.0
item_0102,5.0,4.0,8.0,4.0,4.0,5.0,4.494
item_0103,8.0,5.0,9.0,9.0,7.0,8.0,7.5120000000000005
item_0104,5.0,4.0,6.0,5.0,6.0,6.0,6.0
item_0105,5.0,1.0,10.0,8.0,9.0,7.0,8.026
item_0106,7.0,6.0,7.0,7.0,5.0,6.0,5.49
item_0107,7.0,5.0,8.0,9.0,6.0,6.0,6.0
item_0108,8.0,8.0,9.0,9.0,7.0,7.0,7.0
item_0109,6.0,4.0,7.0,7.0,4.0,7.0,5.491
item_0110,8.0,6.0,9.0,7.0,5.0,6.0,5.483
item_0111,6.0,5.0,4.0,4.0,4.0,5.0,4.481
item_0112,8.0,6.0,8.0,8.0,6.0,6.0,6.0
item_0113,8.0,7.0,8.0,8.0,7.0,7.0,7.0
item_0114,7.0,5.0,8.0,8.0,6.0,5.0,5.501
item_0115,7.0,6.0,8.0,8.0,6.0,7.0,6.5120000000000005
item_0116,8.0,7.0,9.0,8.0,8.0,8.0,8.0
item_0117,8.0,6.0,9.0,9.0,8.0,7.0,7.4830000000000005
item_0118,8.0,6.0,8.0,9.0,6.0,7.0,6.522
item_0119,7.0,6.0,8.0,9.0,6.0,4.0,5.024
item_0120,8.0,7.0,8.0,8.0,6.0,6.0,6.0
item_0121,7.0,6.0,8.0,7.0,6.0,7.0,6.505
item_0122,7.0,7.0,9.0,9.0,6.0,7.0,6.471
item_0123,8.0,6.0,9.0,8.0,6.0,7.0,6.495
item_0124,8.0,6.0,9.0,8.0,5.0,6.0,5.459
item_0125,7.0,6.0,8.0,9.0,7.0,7.0,7.0
item_0126,8.0,7.0,9.0,8.0,8.0,8.0,8.0
item_0127,7.0,6.0,7.0,6.0,6.0,5.0,5.494999999999999
item_0128,8.0,7.0,9.0,9.0,7.0,7.0,7.0
item_0129,7.0,6.0,8.0,8.0,5.0,6.0,5.496
item_0130,7.0,6.0,7.0,8.0,5.0,5.0,5.0
item_0131,6.0,6.0,7.0,7.0,6.0,6.0,6.0
item_0132,7.0,6.0,8.0,8.0,7.0,6.0,6.513999999999999
item_0133,7.0,6.0,8.0,8.0,7.0,5.0,5.992
item_0134,7.0,6.0,8.0,8.0,7.0,6.0,6.5009999999999994
item_0135,4.0,4.0,7.0,6.0,5.0,4.0,4.484999999999999
item_0136,7.0,4.0,8.0,8.0,7.0,4.0,5.5329999999999995
item_0137,6.0,6.0,7.0,7.0,7.0,6.0,6.524
item_0138,7.0,6.0,9.0,8.0,8.0,5.0,6.551
item_0139,7.0,6.0,7.0,8.0,6.0,6.0,6.0
item_0140,8.0,6.0,9.0,8.0,7.0,6.0,6.479
item_0141,4.0,4.0,6.0,7.0,6.0,4.0,4.968
item_0142,5.0,5.0,8.0,8.0,5.0,5.0,5.0
item_0143,7.0,6.0,8.0,8.0,7.0,6.0,6.487
item_0144,5.0,3.0,7.0,8.0,4.0,4.0,4.0
item_0145,8.0,7.0,8.0,9.0,6.0,8.0,6.97
item_0146,7.0,6.0,8.0,9.0,5.0,5.0,5.0
item_0147,6.0,5.0,9.0,8.0,5.0,6.0,5.513999999999999
item_0148,7.0,5.0,8.0,9.0,5.0,6.0,5.509
item_0149,6.0,5.0,7.0,7.0,5.0,5.0,5.0
item_0150,7.0,6.0,7.0,7.0,5.0,6.0,5.497999999999999
item_0151,7.0,5.0,7.0,6.0,5.0,5.0,5.0
item_0152,7.0,6.0,8.0,8.0,5.0,7.0,6.026
item_0153,8.0,7.0,8.0,9.0,6.0,7.0,6.516
item_0154,7.0,5.0,7.0,8.0,5.0,6.0,5.494999999999999
item_0155,6.0,5.0,8.0,8.0,5.0,6.0,5.521000000000001
item_0156,6.0,6.0,8.0,8.0,5.0,8.0,6.575
item_0157,7.0,6.0,8.0,6.0,5.0,7.0,6.01
item_0158,7.0,6.0,9.0,8.0,6.0,5.0,5.489000000000001
item_0159,8.0,7.0,9.0,9.0,7.0,6.0,6.5169999999999995
item_0160,8.0,7.0,9.0,7.0,7.0,8.0,7.492
item_0161,4.0,3.0,6.0,4.0,4.0,3.0,3.521
item_0162,7.0,6.0,8.0,8.0,7.0,6.0,6.505
item_0163,6.0,4.0,7.0,5.0,5.0,5.0,5.0
item_0164,6.0,4.0,8.0,5.0,6.0,4.0,5.018000000000001
item_0165,7.0,5.0,8.0,5.0,4.0,5.0,4.484
item_0166,6.0,4.0,7.0,7.0,4.0,5.0,4.5280000000000005
item_0167,7.0,6.0,8.0,8.0,5.0,7.0,6.029999999999999
item_0168,7.0,6.0,8.0,9.0,6.0,6.0,6.0
item_0169,7.0,6.0,8.0,7.0,6.0,7.0,6.491
item_0170,7.0,6.0,9.0,9.0,7.0,7.0,7.0
item_0171,8.0,6.0,8.0,9.0,8.0,6.0,7.0440000000000005
item_0172,7.0,6.0,8.0,8.0,6.0,6.0,6.0
item_0173,5.0,4.0,7.0,7.0,5.0,5.0,5.0
item_0174,4.0,4.0,4.0,3.0,3.0,5.0,4.01
item_0175,7.0,6.0,7.0,8.0,5.0,7.0,6.013999999999999
item_0176,7.0,6.0,8.0,8.0,5.0,5.0,5.0
item_0177,6.0,4.0,8.0,6.0,5.0,5.0,5.0
item_0178,5.0,4.0,4.0,1.0,5.0,3.0,4.008
item_0179,7.0,6.0,8.0,8.0,6.0,6.0,6.0
item_0180,6.0,5.0,7.0,8.0,6.0,5.0,5.48
item_0181,4.0,4.0,4.0,5.0,5.0,4.0,4.4719999999999995
item_0182,6.0,5.0,8.0,8.0,7.0,6.0,6.5
item_0183,6.0,6.0,7.0,6.0,5.0,4.0,4.5169999999999995
item_0184,7.0,6.0,8.0,8.0,7.0,7.0,7.0
item_0185,7.0,6.0,9.0,9.0,8.0,6.0,7.04
item_0186,6.0,6.0,8.0,8.0,7.0,6.0,6.487
item_0187,7.0,6.0,9.0,8.0,7.0,7.0,7.0
item_0188,6.0,6.0,7.0,8.0,6.0,5.0,5.491
item_0189,6.0,5.0,7.0,5.0,4.0,4.0,4.0
item_0190,7.0,6.0,8.0,7.0,3.0,5.0,3.9859999999999998
item_0191,8.0,5.0,8.0,7.0,6.0,5.0,5.503
item_0192,8.0,7.0,8.0,9.0,6.0,7.0,6.516
item_0193,5.0,4.0,7.0,7.0,5.0,5.0,5.0
item_0194,6.0,5.0,7.0,8.0,4.0,5.0,4.482
item_0195,7.0,6.0,8.0,9.0,6.0,6.0,6.0
item_0196,7.0,6.0,8.0,9.0,6.0,6.0,6.0
item_0197,7.0,6.0,9.0,8.0,5.0,6.0,5.487
item_0198,6.0,5.0,6.0,7.0,5.0,4.0,4.491
item_0199,7.0,4.0,8.0,7.0,4.0,6.0,4.96
item_0200,7.0,5.0,8.0,8.0,4.0,5.0,4.5409999999999995
item_0201,8.0,7.0,9.0,9.0,7.0,8.0,7.5
item_0202,7.0,6.0,8.0,7.0,4.0,7.0,5.479
item_0203,7.0,6.0,8.0,7.0,6.0,5.0,5.491
item_0204,7.0,5.0,8.0,8.0,6.0,6.0,6.0
item_0205,6.0,3.0,9.0,5.0,6.0,4.0,5.038
item_0206,7.0,6.0,8.0,7.0,7.0,7.0,7.0
item_0207,7.0,6.0,8.0,7.0,6.0,7.0,6.505
item_0208,7.0,6.0,8.0,7.0,7.0,6.0,6.506
item_0209,8.0,6.0,9.0,9.0,6.0,5.0,5.487
item_0210,5.0,3.0,8.0,6.0,4.0,5.0,4.51
item_0211,7.0,5.0,7.0,7.0,4.0,5.0,4.492
item_0212,5.0,5.0,8.0,8.0,5.0,6.0,5.499
item_0213,6.0,6.0,7.0,7.0,4.0,6.0,5.002000000000001
item_0214,7.0,6.0,9.0,9.0,6.0,6.0,6.0
item_0215,6.0,6.0,8.0,7.0,5.0,4.0,4.531000000000001
item_0216,7.0,6.0,9.0,8.0,6.0,7.0,6.495
item_0217,6.0,4.0,7.0,8.0,4.0,6.0,5.026
item_0218,4.0,4.0,4.0,4.0,4.0,4.0,4.0
item_0219,8.0,7.0,9.0,9.0,7.0,8.0,7.515000000000001
item_0220,6.0,5.0,8.0,7.0,5.0,5.0,5.0
item_0221,8.0,4.0,8.0,8.0,6.0,6.0,6.0
item_0222,5.0,5.0,3.0,2.0,5.0,5.0,5.0
item_0223,7.0,6.0,8.0,8.0,7.0,5.0,6.022
item_0224,8.0,6.0,8.0,9.0,7.0,6.0,6.518000000000001
item_0225,7.0,6.0,8.0,8.0,7.0,6.0,6.4990000000000006
item_0226,7.0,5.0,7.0,7.0,6.0,5.0,5.507
item_0227,7.0,5.0,8.0,8.0,7.0,7.0,7.0
item_0228,6.0,2.0,9.0,9.0,7.0,7.0,7.0
item_0229,7.0,5.0,8.0,9.0,7.0,6.0,6.497999999999999
item_0230,6.0,4.0,8.0,3.0,6.0,5.0,5.489000000000001
item_0231,5.0,4.0,7.0,5.0,7.0,5.0,6.029999999999999
item_0232,7.0,5.0,8.0,8.0,6.0,6.0,6.0
item_0233,7.0,6.0,8.0,8.0,7.0,6.0,6.476
item_0234,8.0,7.0,8.0,8.0,6.0,7.0,6.511
item_0235,7.0,6.0,8.0,9.0,6.0,7.0,6.475
item_0236,7.0,6.0,8.0,8.0,4.0,5.0,4.51
item_0237,6.0,4.0,7.0,3.0,4.0,5.0,4.514
item_0238,7.0,6.0,8.0,7.0,6.0,6.0,6.0
item_0239,5.0,4.0,7.0,8.0,3.0,5.0,4.026
item_0240,6.0,6.0,7.0,6.0,4.0,5.0,4.504
item_0241,6.0,4.0,9.0,7.0,5.0,5.0,5.0
item_0242,7.0,6.0,8.0,6.0,6.0,6.0,6.0
item_0243,7.0,6.0,8.0,8.0,6.0,6.0,6.0
item_0244,7.0,6.0,7.0,8.0,5.0,6.0,5.486000000000001
item_0245,3.0,1.0,4.0,3.0,5.0,5.0,5.0
item_0246,7.0,5.0,7.0,8.0,6.0,6.0,6.0
item_0247,8.0,6.0,7.0,7.0,7.0,7.0,7.0
item_0248,5.0,3.0,6.0,6.0,4.0,5.0,4.477
item_0249,7.0,6.0,7.0,7.0,5.0,5.0,5.0
item_0250,7.0,5.0,8.0,8.0,6.0,6.0,6.0
item_0251,7.0,6.0,8.0,9.0,8.0,7.0,7.505
item_0252,7.0,5.0,8.0,9.0,7.0,7.0,7.0
item_0253,4.0,3.0,6.0,7.0,5.0,6.0,5.465
item_0254,7.0,5.0,9.0,7.0,6.0,6.0,6.0
item_0255,6.0,5.0,8.0,6.0,4.0,6.0,5.0280000000000005
item_0256,7.0,6.0,8.0,6.0,5.0,6.0,5.5120000000000005
item_0257,7.0,6.0,8.0,9.0,5.0,7.0,5.968
item_0258,7.0,6.0,7.0,9.0,6.0,6.0,6.0
item_0259,7.0,5.0,8.0,9.0,5.0,5.0,5.0
item_0260,6.0,5.0,8.0,8.0,6.0,6.0,6.0
item_0261,8.0,7.0,9.0,8.0,9.0,7.0,7.994
item_0262,5.0,3.0,8.0,3.0,4.0,4.0,4.0
item_0263,7.0,6.0,8.0,9.0,6.0,6.0,6.0
item_0264,7.0,6.0,9.0,9.0,6.0,6.0,6.0
item_0265,8.0,7.0,8.0,9.0,6.0,7.0,6.4879999999999995
item_0266,7.0,6.0,8.0,8.0,5.0,5.0,5.0
item_0267,8.0,7.0,9.0,10.0,8.0,7.0,7.504
item_0268,7.0,6.0,8.0,8.0,7.0,6.0,6.5120000000000005
item_0269,6.0,4.0,8.0,5.0,6.0,3.0,4.572
item_0270,7.0,5.0,8.0,8.0,8.0,5.0,6.458
item_0271,7.0,6.0,9.0,9.0,7.0,5.0,6.024
item_0272,4.0,2.0,4.0,3.0,5.0,3.0,4.0
item_0273,7.0,4.0,9.0,9.0,7.0,6.0,6.484
item_0274,7.0,5.0,8.0,6.0,7.0,5.0,6.01
item_0275,8.0,6.0,9.0,8.0,7.0,8.0,7.506
item_0276,8.0,6.0,8.0,8.0,7.0,6.0,6.492
item_0277,8.0,7.0,9.0,9.0,8.0,8.0,8.0
item_0278,7.0,6.0,8.0,8.0,7.0,5.0,6.032
item_0279,8.0,7.0,9.0,9.0,6.0,7.0,6.4719999999999995
item_0280,7.0,6.0,8.0,8.0,6.0,5.0,5.483
item_0281,6.0,6.0,9.0,7.0,4.0,4.0,4.0
item_0282,7.0,5.0,8.0,7.0,5.0,6.0,5.529
item_0283,7.0,6.0,9.0,8.0,6.0,7.0,6.492
item_0284,7.0,6.0,8.0,9.0,6.0,7.0,6.503
item_0285,5.0,3.0,6.0,4.0,4.0,5.0,4.519
item_0286,7.0,6.0,8.0,8.0,6.0,6.0,6.0
item_0287,7.0,7.0,8.0,8.0,4.0,7.0,5.416
item_0288,7.0,5.0,8.0,6.0,5.0,5.0,5.0
item_0289,5.0,5.0,6.0,8.0,4.0,5.0,4.49
item_0290,5.0,4.0,7.0,6.0,3.0,4.0,3.5
item_0291,6.0,5.0,7.0,8.0,6.0,7.0,6.513999999999999
item_0292,6.0,6.0,7.0,2.0,4.0,4.0,4.0
item_0293,4.0,4.0,5.0,3.0,4.0,4.0,4.0
item_0294,7.0,6.0,7.0,3.0,5.0,5.0,5.0
item_0295,8.0,7.0,9.0,9.0,8.0,9.0,8.530999999999999
item_0296,7.0,6.0,9.0,8.0,7.0,6.0,6.495
item_0297,8.0,5.0,8.0,9.0,6.0,7.0,6.508
item_0298,8.0,6.0,8.0,8.0,7.0,6.0,6.506
item_0299,7.0,6.0,9.0,7.0,5.0,7.0,5.976
item_0300,7.0,6.0,9.0,8.0,5.0,7.0,5.9959999999999996
item_0301,8.0,6.0,8.0,9.0,7.0,7.0,7.0
item_0302,6.0,4.0,8.0,4.0,4.0,5.0,4.506
item_0303,6.0,5.0,9.0,8.0,4.0,6.0,4.981999999999999
item_0304,8.0,7.0,8.0,9.0,7.0,7.0,7.0
item_0305,6.0,5.0,8.0,7.0,5.0,5.0,5.0
item_0306,6.0,4.0,7.0,5.0,6.0,5.0,5.51
item_0307,7.0,6.0,8.0,2.0,5.0,6.0,5.497
item_0308,7.0,6.0,9.0,9.0,6.0,5.0,5.492
item_0309,7.0,6.0,6.0,7.0,5.0,6.0,5.499
item_0310,8.0,6.0,9.0,9.0,7.0,6.0,6.522
item_0311,8.0,7.0,9.0,9.0,7.0,6.0,6.503
item_0312,4.0,4.0,3.0,3.0,5.0,4.0,4.477
item_0313,5.0,5.0,7.0,7.0,5.0,4.0,4.506
item_0314,7.0,6.0,8.0,8.0,5.0,5.0,5.0
item_0315,8.0,6.0,9.0,8.0,7.0,5.0,6.024
item_0316,8.0,7.0,8.0,5.0,8.0,6.0,6.982
item_0317,7.0,7.0,8.0,8.0,8.0,7.0,7.491
item_0318,5.0,5.0,7.0,7.0,5.0,4.0,4.513
item_0319,8.0,7.0,9.0,8.0,7.0,7.0,7.0
item_0320,4.0,3.0,6.0,3.0,6.0,3.0,4.476
item_0321,7.0,6.0,8.0,9.0,7.0,6.0,6.476
item_0322,6.0,5.0,7.0,6.0,6.0,5.0,5.494999999999999
item_0323,7.0,6.0,8.0,8.0,7.0,5.0,5.988
item_0324,4.0,3.0,3.0,4.0,3.0,3.0,3.0
item_0325,4.0,4.0,3.0,4.0,4.0,5.0,4.5009999999999994
item_0326,5.0,4.0,6.0,2.0,4.0,5.0,4.497
item_0327,7.0,7.0,8.0,8.0,5.0,6.0,5.491
item_0328,6.0,6.0,8.0,7.0,4.0,6.0,5.006
item_0329,6.0,5.0,8.0,7.0,5.0,6.0,5.48
item_0330,5.0,4.0,7.0,6.0,4.0,6.0,4.96
item_0331,6.0,6.0,8.0,7.0,4.0,5.0,4.487
item_0332,7.0,5.0,9.0,9.0,5.0,6.0,5.501
item_0333,6.0,5.0,8.0,8.0,4.0,5.0,4.4990000000000006
item_0334,4.0,5.0,8.0,7.0,4.0,6.0,4.978
item_0335,8.0,7.0,8.0,3.0,7.0,7.0,7.0
item_0336,8.0,7.0,9.0,8.0,6.0,7.0,6.497
item_0337,7.0,6.0,6.0,7.0,7.0,7.0,7.0
item_0338,7.0,6.0,8.0,7.0,5.0,5.0,5.0
item_0339,7.0,6.0,8.0,9.0,7.0,6.0,6.513
item_0340,7.0,5.0,8.0,8.0,6.0,7.0,6.495
item_0341,5.0,4.0,5.0,3.0,5.0,4.0,4.504
item_0342,7.0,6.0,9.0,9.0,8.0,7.0,7.502
item_0343,5.0,4.0,7.0,7.0,5.0,5.0,5.0
item_0344,5.0,5.0,7.0,5.0,5.0,4.0,4.475
item_0345,8.0,6.0,8.0,8.0,6.0,6.0,6.0
item_0346,6.0,6.0,7.0,7.0,6.0,6.0,6.0
item_0347,7.0,6.0,9.0,8.0,6.0,8.0,7.004
item_0348,6.0,5.0,6.0,4.0,5.0,6.0,5.503
item_0349,7.0,5.0,7.0,7.0,6.0,6.0,6.0
item_0350,8.0,6.0,8.0,3.0,6.0,5.0,5.510999999999999
item_0351,7.0,6.0,8.0,7.0,6.0,7.0,6.49
item_0352,7.0,7.0,9.0,6.0,5.0,6.0,5.497999999999999
item_0353,7.0,6.0,9.0,8.0,7.0,6.0,6.478
item_0354,6.0,6.0,5.0,7.0,6.0,7.0,6.484999999999999
item_0355,6.0,5.0,8.0,6.0,5.0,6.0,5.491
item_0356,5.0,4.0,7.0,5.0,5.0,4.0,4.516
item_0357,7.0,6.0,8.0,9.0,6.0,7.0,6.478
item_0358,7.0,5.0,8.0,7.0,6.0,5.0,5.513
item_0359,6.0,5.0,8.0,8.0,6.0,5.0,5.509
item_0360,7.0,6.0,8.0,7.0,7.0,5.0,5.986000000000001
item_0361,7.0,5.0,8.0,8.0,8.0,6.0,7.014
item_0362,7.0,7.0,9.0,5.0,7.0,7.0,7.0
item_0363,8.0,7.0,8.0,8.0,8.0,5.0,6.484999999999999
item_0364,7.0,6.0,9.0,9.0,7.0,6.0,6.49
item_0365,7.0,6.0,7.0,7.0,6.0,5.0,5.478999999999999
item_0366,7.0,7.0,8.0,9.0,8.0,7.0,7.479
item_0367,8.0,7.0,8.0,8.0,8.0,7.0,7.51
item_0368,6.0,5.0,8.0,8.0,7.0,5.0,5.956
item_0369,7.0,7.0,9.0,8.0,7.0,7.0,7.0
item_0370,7.0,7.0,8.0,8.0,6.0,7.0,6.489
item_0371,7.0,6.0,8.0,9.0,5.0,6.0,5.515
item_0372,8.0,6.0,9.0,8.0,6.0,7.0,6.5
item_0373,7.0,7.0,9.0,9.0,6.0,7.0,6.5
item_0374,7.0,6.0,7.0,8.0,5.0,8.0,6.518
item_0375,7.0,6.0,8.0,6.0,4.0,6.0,5.0120000000000005
item_0376,7.0,6.0,9.0,7.0,5.0,6.0,5.494999999999999
item_0377,7.0,6.0,8.0,9.0,6.0,7.0,6.4990000000000006
item_0378,6.0,5.0,8.0,7.0,6.0,5.0,5.49
item_0379,5.0,6.0,7.0,4.0,4.0,3.0,3.485
item_0380,6.0,5.0,6.0,8.0,5.0,5.0,5.0
item_0381,8.0,7.0,9.0,7.0,7.0,8.0,7.479
item_0382,6.0,5.0,8.0,7.0,5.0,5.0,5.0
item_0383,7.0,7.0,8.0,7.0,6.0,5.0,5.494999999999999
item_0384,6.0,6.0,8.0,5.0,6.0,5.0,5.516
item_0385,7.0,5.0,8.0,8.0,6.0,6.0,6.0
item_0386,7.0,5.0,7.0,8.0,5.0,5.0,5.0
item_0387,8.0,6.0,8.0,9.0,6.0,5.0,5.5
item_0388,7.0,5.0,8.0,7.0,6.0,6.0,6.0
item_0389,7.0,6.0,8.0,8.0,6.0,5.0,5.48
item_0390,7.0,6.0,8.0,7.0,6.0,7.0,6.5
item_0391,8.0,6.0,9.0,8.0,6.0,7.0,6.506
item_0392,8.0,6.0,8.0,8.0,6.0,7.0,6.487
item_0393,7.0,6.0,7.0,8.0,5.0,6.0,5.483
item_0394,7.0,5.0,9.0,8.0,6.0,6.0,6.0
item_0395,8.0,6.0,9.0,7.0,6.0,6.0,6.0
item_0396,7.0,5.0,8.0,7.0,7.0,6.0,6.4990000000000006
item_0397,4.0,3.0,4.0,2.0,3.0,3.0,3.0
item_0398,7.0,5.0,9.0,4.0,6.0,6.0,6.0
item_0399,7.0,5.0,7.0,8.0,7.0,6.0,6.513999999999999
item_0400,7.0,6.0,8.0,8.0,7.0,6.0,6.494
item_0401,7.0,5.0,9.0,8.0,6.0,5.0,5.494
item_0402,7.0,5.0,9.0,9.0,8.0,6.0,6.964
item_0403,8.0,7.0,9.0,9.0,8.0,7.0,7.4990000000000006
item_0404,6.0,5.0,7.0,7.0,5.0,5.0,5.0
item_0405,6.0,5.0,6.0,4.0,7.0,5.0,6.012
item_0406,6.0,3.0,7.0,4.0,6.0,4.0,5.01
item_0407,4.0,3.0,5.0,1.0,5.0,3.0,4.0
item_0408,6.0,5.0,6.0,5.0,5.0,4.0,4.494
item_0409,6.0,5.0,6.0,2.0,5.0,4.0,4.478
