item_id,model,prompt_version,clarity,neutrality,verifiability,coverage,structure,readability,informativeness,overall,rationale,ok,repaired,timestamp
item_0001,claude-haiku-4.5,v1,8.0,8.0,6.0,6.0,8.0,9.0,7.0,7.0,"This is a solid encyclopedic passage that is clear, well-written, and informative. It effectively demonstrates Korzybski's influence with concrete examples. The main weaknesses are lack of citations and limited depth on the nature of the influence. It reads as competent Wikipedia writing without exc",1,0,2026-07-09T16:14:51
item_0010,gpt-5.2,v1,8.0,4.0,3.0,6.0,7.0,7.0,7.0,6.0,"Clear and informative as a plot/character summary, but weakened by non-neutral, interpretive language and lack of sourcing signals.",1,0,2026-07-09T16:18:30
item_0007,gpt-5.2,v1,8.0,10,5.0,6.0,7.0,7.0,7.0,7.0,"A clear, neutral, and useful chronological note with minor repetitiveness and limited sourcing/context.",1,0,2026-07-09T16:18:30
item_0008,gpt-5.2,v1,8.0,7.0,5.0,6.0,8.0,9.0,7.0,7.0,"Clear and readable with mostly encyclopedic tone, but somewhat generic and lightly editorial, and it would benefit from more specific, attributable support.",1,0,2026-07-09T16:18:31
item_0006,gpt-5.2,v1,8.0,4.0,4.0,5.0,7.0,7.0,6.0,6.0,"Clear and readable but notably promotional and light on verifiable, specific details, making it weaker than typical polished encyclopedic prose.",1,0,2026-07-09T16:18:31
item_0011,gpt-5.2,v1,6.0,4.0,3.0,5.0,6.0,5.0,6.0,5.0,"An understandable summary with some relevant facts, but weakened by shaky neutrality, weak verifiability, and several non-encyclopedic/awkward phrasings.",1,0,2026-07-09T16:18:31
item_0005,gpt-5.2,v1,6.0,8.0,5.0,6.0,8.0,7.0,7.0,7.0,"Solid, mostly neutral and coherent encyclopedic prose, but weakened by missing phonetic detail and lack of sourcing/attribution for key claims.",1,0,2026-07-09T16:18:32
item_0003,gpt-5.2,v1,8.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,"Strong encyclopedic paragraph: neutral, informative, and mostly well-attributed, with minor weaknesses in sentence density and in substantiating broader contextual claims.",1,0,2026-07-09T16:18:32
item_0004,gpt-5.2,v1,8.0,9.0,6.0,6.0,7.0,8.0,7.0,7.0,"Solid, neutral, and readable encyclopedic summary with specific details, but limited sourcing cues and somewhat incomplete coverage for the stated time span.",1,0,2026-07-09T16:18:32
item_0009,gpt-5.2,v1,6.0,9.0,5.0,7.0,6.0,6.0,8.0,7.0,"A solid, information-rich encyclopedic passage with neutral tone, but it is overly dense and under-attributed, limiting readability and verifiability.",1,0,2026-07-09T16:18:32
item_0002,gpt-5.2,v1,5.0,9.0,4.0,4.0,4.0,3.0,5.0,4.0,"A basically encyclopedic intent with some useful facts, but undermined by notable grammar/punctuation problems, weak structure, and lack of sourcing/precision.",1,0,2026-07-09T16:18:32
item_0013,gpt-5.2,v1,8.0,10,4.0,6.0,7.0,7.0,8.0,7.0,"Good concise encyclopedic definition with strong neutrality and clarity, but weakened by lack of sourcing and limited contextual framing.",1,0,2026-07-09T16:18:35
item_0012,gpt-5.2,v1,8.0,8.0,5.0,7.0,8.0,8.0,8.0,7.0,"Strong, readable encyclopedic paragraph with good organization and density, but weakened by a few sweeping, unsourced-sounding claims and slightly promotional phrasing.",1,0,2026-07-09T16:18:36
item_0014,gpt-5.2,v1,4.0,3.0,2.0,3.0,6.0,5.0,5.0,4.0,"Well-written as philosophical prose, but falls short of encyclopedic standards due to lack of attribution/sourcing, non-neutral rhetorical tone, and limited contextual framing.",1,0,2026-07-09T16:18:37
item_0015,gpt-5.2,v1,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,"Solid encyclopedic intent with acceptable neutrality and some attributable claims, but weakened by verbosity, repetition, and lack of precise sourcing or concrete detail.",1,0,2026-07-09T16:18:37
item_0016,gpt-5.2,v1,7.0,6.0,4.0,6.0,7.0,6.0,7.0,6.0,"A clear, mostly encyclopedic paragraph with decent informational value, but weakened by awkward wording and multiple unsupported, somewhat promotional-sounding claims.",1,0,2026-07-09T16:18:37
item_0021,gpt-5.2,v1,7.0,8.0,4.0,4.0,7.0,8.0,4.0,6.0,"Competent, neutral prose but too unspecific and weakly verifiable; works as a table preface rather than a self-contained encyclopedic passage.",1,0,2026-07-09T16:18:38
item_0018,gpt-5.2,v1,7.0,6.0,5.0,6.0,7.0,8.0,8.0,7.0,"A solid, informative summary with good flow and strong factual density, but weakened by limited attribution and a few potentially loaded terms lacking contextual support.",1,0,2026-07-09T16:18:38
item_0017,gpt-5.2,v1,7.0,9.0,6.0,7.0,7.0,7.0,8.0,7.0,Solid encyclopedic paragraph—neutral and information-rich—but slightly hampered by sentence density and weaker apparent sourcing for the proportional estimate.,1,0,2026-07-09T16:18:39
item_0020,gpt-5.2,v1,7.0,10,6.0,7.0,7.0,7.0,8.0,7.0,"Solid encyclopedic passage with clear factual content and neutral tone, but slightly weakened by unexplained acronyms, lack of in-text attribution, and a somewhat abrupt ending.",1,0,2026-07-09T16:18:39
item_0019,gpt-5.2,v1,7.0,7.0,6.0,6.0,6.0,6.0,8.0,7.0,"Informative and mostly clear, but needs better organization, minor copyediting, and stronger attribution for evaluative or causal claims to reach higher encyclopedic quality.",1,0,2026-07-09T16:18:39
item_0022,gpt-5.2,v1,7.0,6.0,6.0,4.0,5.0,6.0,7.0,6.0,"Informative and mostly clear, but weakened by thin context, list-like construction, and reliance on a single attributed source without broader sourcing.",1,0,2026-07-09T16:18:41
item_0023,gpt-5.2,v1,6.0,8.0,5.0,6.0,6.0,6.0,7.0,6.0,"Solid encyclopedic content with useful specifics, but held back by an apparent missing measurement, limited context, and lack of attributable sourcing in the passage itself.",1,0,2026-07-09T16:18:43
item_0024,gpt-5.2,v1,8.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,"Strong encyclopedic paragraph: clear, well organized, and information-dense with attributable claims; minor issues are a slightly loaded phrasing and lack of explicit citation formatting.",1,0,2026-07-09T16:18:44
item_0027,gpt-5.2,v1,7.0,8.0,5.0,6.0,7.0,7.0,7.0,7.0,"Solid encyclopedic sentence that is mostly clear and neutral, but somewhat jargon-heavy and weakly verifiable without sourcing or procedural detail.",1,0,2026-07-09T16:18:44
item_0026,gpt-5.2,v1,7.0,8.0,4.0,5.0,4.0,7.0,7.0,6.0,"Informative and mostly readable, but undermined by disjointed organization and lack of sourcing/attribution, making it feel like stitched-together material rather than a polished encyclopedic passage.",1,0,2026-07-09T16:18:45
item_0028,gpt-5.2,v1,8.0,9.0,4.0,5.0,6.0,8.0,6.0,6.0,"Clear, neutral, and readable, but too lightly sourced and somewhat superficial, with limited contextual depth for an encyclopedic entry.",1,0,2026-07-09T16:18:45
item_0029,gpt-5.2,v1,9.0,7.0,6.0,8.0,9.0,9.0,9.0,8.0,"Strong encyclopedic paragraph—clear, coherent, and information-dense—slightly weakened by evaluative/unsourced assertions and speculative health causation.",1,0,2026-07-09T16:18:45
item_0030,gpt-5.2,v1,7.0,10,6.0,7.0,8.0,7.0,8.0,7.0,"A solid encyclopedic lead with clear organization and useful detail, slightly undermined by a missing pronunciation element and minor phrasing issues; sourcing is not visible in the excerpt.",1,0,2026-07-09T16:18:45
item_0025,gpt-5.2,v1,7.0,8.0,3.0,6.0,7.0,6.0,7.0,6.0,"A solid, readable myth summary with decent flow and information density, but weakened by lack of attribution, some awkward phrasing, and minor clarity/context gaps.",1,0,2026-07-09T16:18:46
item_0031,gpt-5.2,v1,7.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,"Solid encyclopedic paragraph: coherent, informative, and mostly neutral, with modest weaknesses in initial clarity and in verifiability/attribution for evaluative or motive-related phrasing.",1,0,2026-07-09T16:18:46
item_0032,gpt-5.2,v1,7.0,8.0,5.0,6.0,7.0,8.0,8.0,7.0,"Solid encyclopedic prose that is informative and mostly neutral, but weaker on contextual clarity and source-attributable verifiability in the excerpt.",1,0,2026-07-09T16:18:48
item_0033,gpt-5.2,v1,8.0,7.0,6.0,6.0,8.0,8.0,8.0,7.0,"A solid, informative encyclopedic paragraph with good coherence, but slightly non-neutral wording and incomplete attribution for several key claims limit its Wikipedia-quality polish.",1,0,2026-07-09T16:18:50
item_0034,gpt-5.2,v1,8.0,9.0,5.0,6.0,7.0,7.0,8.0,7.0,"Good encyclopedic prose that is clear and informative, with the main weakness being lack of explicit sourcing for the comparative size claims and slightly overlong sentence structure.",1,0,2026-07-09T16:18:50
item_0038,gpt-5.2,v1,7.0,9.0,4.0,6.0,6.0,7.0,6.0,7.0,"Solid neutral encyclopedic sentence conveying a clear general point, but weakened by vagueness, lack of attribution, and overly long construction.",1,0,2026-07-09T16:18:50
item_0037,gpt-5.2,v1,7.0,7.0,6.0,6.0,8.0,8.0,7.0,7.0,"Solid encyclopedic summary with good flow and readability, but somewhat thin on contextual framing and consistent attribution for major claims.",1,0,2026-07-09T16:18:51
item_0039,gpt-5.2,v1,6.0,9.0,7.0,6.0,6.0,6.0,8.0,7.0,"Solid, neutral, and information-dense, but readability and immediate clarity suffer due to technical notation and sentence density.",1,0,2026-07-09T16:18:51
item_0040,gpt-5.2,v1,8.0,8.0,5.0,6.0,8.0,8.0,7.0,7.0,"A clear, readable introductory lead with minor issues in sourcing/precision and modest breadth for the topic.",1,0,2026-07-09T16:18:51
item_0036,gpt-5.2,v1,7.0,8.0,4.0,6.0,7.0,7.0,8.0,7.0,"A solid, concise historical overview in an encyclopedic register, but weakened by lack of sourcing/attribution signals and occasional imprecise or oversimplified formulations for contentious historical topics.",1,0,2026-07-09T16:18:52
item_0041,gpt-5.2,v1,7.0,7.0,5.0,6.0,7.0,7.0,8.0,7.0,"Solid encyclopedic paragraph with good factual density and generally neutral tone, but weakened by dense name-listing and a few potentially contentious, weakly supported assertions.",1,0,2026-07-09T16:18:52
item_0035,gpt-5.2,v1,5.0,4.0,3.0,5.0,5.0,4.0,6.0,5.0,"Informative but undermined by awkward syntax, unclear phrasing, and non-neutral, sweeping claims that would need rewriting and sourcing to meet strong encyclopedic standards.",1,0,2026-07-09T16:18:52
item_0042,gpt-5.2,v1,7.0,7.0,5.0,6.0,7.0,8.0,7.0,7.0,"Solid encyclopedic paragraph that is readable and informative, but weakened by limited attribution and a slightly celebratory framing of one contributor.",1,0,2026-07-09T16:18:55
item_0045,gpt-5.2,v1,7.0,9.0,5.0,7.0,6.0,7.0,8.0,7.0,"Solid encyclopedic content that is informative and neutral, but not fully polished and would benefit from clearer phrasing and explicit sourcing for the many distribution claims.",1,0,2026-07-09T16:18:56
item_0044,gpt-5.2,v1,8.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,"Strong encyclopedic paragraph: clear, coherent, and detail-rich, with minor issues in context/coverage and slightly imperfect neutrality/verifiability due to lack of visible citations.",1,0,2026-07-09T16:18:56
item_0043,gpt-5.2,v1,6.0,9.0,6.0,7.0,7.0,6.0,8.0,7.0,"A solid, neutral, information-rich encyclopedic passage with good chronological organization, but clear copyediting issues and limited explicit sourcing reduce polish and trustworthiness.",1,0,2026-07-09T16:18:56
item_0049,gpt-5.2,v1,3.0,7.0,3.0,4.0,4.0,3.0,4.0,3.0,"An encyclopedic claim is present, but the passage reads like an incomplete or corrupted sentence with missing key facts, limiting clarity and reliability.",1,0,2026-07-09T16:18:57
item_0047,gpt-5.2,v1,3.0,7.0,2.0,2.0,5.0,6.0,4.0,4.0,"Encyclopedic in tone but weak as a standalone passage due to lack of context and sourcing; reads like an unsupported, highly technical aside.",1,0,2026-07-09T16:18:58
item_0051,gpt-5.2,v1,8.0,7.0,4.0,6.0,8.0,8.0,6.0,7.0,"Solid, readable overview sentence cluster with good coherence, but weakened by vague, unsourced generalizations and limited specificity.",1,0,2026-07-09T16:18:58
item_0048,gpt-5.2,v1,6.0,10,4.0,5.0,4.0,5.0,6.0,5.0,"Neutral and somewhat informative as a compact list, but weakly structured and not polished encyclopedic prose; limited context and sourcing.",1,0,2026-07-09T16:18:58
item_0046,gpt-5.2,v1,7.0,6.0,4.0,5.0,7.0,8.0,7.0,6.0,"A clear, readable mini-narrative with good flow, but weakened by unqualified evaluative language and a major unsourced, high-stakes claim stated too assertively and without context.",1,0,2026-07-09T16:18:59
item_0050,gpt-5.2,v1,8.0,7.0,6.0,6.0,8.0,8.0,6.0,7.0,"Solid encyclopedic prose with clear flow and one verifiable anchor point, but somewhat generalized and mildly laudatory, reducing specificity and sourcing impression.",1,0,2026-07-09T16:18:59
item_0054,gpt-5.2,v1,6.0,8.0,4.0,5.0,6.0,6.0,6.0,6.0,"Adequate encyclopedic summary with a neutral tone, but weakened by vagueness, repetition, and lack of clear attribution to specific sources.",1,0,2026-07-09T16:19:01
item_0053,gpt-5.2,v1,3.0,6.0,4.0,5.0,3.0,3.0,6.0,4.0,"Informative but poorly written: run-on, confusing structure and mildly non-neutral phrasing undermine encyclopedic quality.",1,0,2026-07-09T16:19:02
item_0052,gpt-5.2,v1,4.0,9.0,4.0,4.0,6.0,5.0,5.0,5.0,"Neutral and conceptually sound, but the missing Big O terms and minor prose issues significantly reduce clarity and usefulness for an encyclopedic passage.",1,0,2026-07-09T16:19:02
item_0055,gpt-5.2,v1,5.0,9.0,4.0,5.0,5.0,5.0,7.0,5.0,"Informative and neutral but weakened by a fragmentary opening, uneven clarity, and lack of sourcing/context that would make it more encyclopedic and accessible.",1,0,2026-07-09T16:19:02
item_0056,gpt-5.2,v1,6.0,8.0,4.0,5.0,6.0,6.0,7.0,6.0,"Informative and mostly neutral, but weakened by lack of sourcing, an awkward opening, and some vague/unspecified technical references.",1,0,2026-07-09T16:19:03
item_0057,gpt-5.2,v1,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,"Solid encyclopedic passage with good factual density and mostly neutral tone, but it would benefit from clearer sentence structure and more explicitly attributable sourcing.",1,0,2026-07-09T16:19:03
item_0059,gpt-5.2,v1,8.0,9.0,5.0,5.0,8.0,9.0,6.0,7.0,"A clear, neutral, well-written short lead, but limited scope and lack of sourcing/attribution keep it from being strong encyclopedic coverage.",1,0,2026-07-09T16:19:03
item_0058,gpt-5.2,v1,9.0,10,6.0,7.0,9.0,9.0,8.0,8.0,"Well-written, neutral, and informative encyclopedic prose; the main limitation is lack of explicit sourcing and slightly limited depth given the topic.",1,0,2026-07-09T16:19:04
item_0061,gpt-5.2,v1,6.0,7.0,4.0,6.0,5.0,4.0,6.0,5.0,"Informative and mostly neutral, but weakened by poor prose mechanics, non-encyclopedic second-person phrasing, and lack of sourcing cues.",1,0,2026-07-09T16:19:05
item_0060,gpt-5.2,v1,6.0,8.0,6.0,5.0,6.0,6.0,6.0,6.0,"Serviceable encyclopedic prose with identifiable sources and a clear topic, but weakened by vague generalizations, limited scope, and slightly awkward phrasing.",1,0,2026-07-09T16:19:05
item_0062,gpt-5.2,v1,6.0,8.0,9.0,6.0,7.0,6.0,8.0,7.0,"A solid, source-attributed explanatory passage that is informative and mostly neutral, but less clear and polished than ideal due to density and editorial/footnote clutter.",1,0,2026-07-09T16:19:08
item_0067,gpt-5.2,v1,7.0,9.0,6.0,6.0,8.0,7.0,8.0,7.0,"Good encyclopedic prose: neutral, coherent, and informative, with minor density and limited sourcing/context in this excerpt.",1,0,2026-07-09T16:19:08
item_0068,gpt-5.2,v1,6.0,8.0,4.0,4.0,6.0,7.0,5.0,5.0,"Readable and mostly neutral, but undermined by contextual ambiguity and weak verifiability, making it only moderately effective as encyclopedic prose.",1,0,2026-07-09T16:19:08
item_0063,gpt-5.2,v1,7.0,8.0,4.0,6.0,7.0,6.0,7.0,6.0,"A reasonably clear, neutral encyclopedic morphology summary with useful details, but weakened by imprecise/subjective wording, a terminology issue, and lack of verifiable sourcing for sweeping claims.",1,0,2026-07-09T16:19:09
item_0064,gpt-5.2,v1,7.0,8.0,3.0,6.0,7.0,6.0,7.0,6.0,"A clear enough summary of the legend with decent coherence, but weakened by lack of sourcing, slightly awkward phrasing, and limited contextual framing.",1,0,2026-07-09T16:19:09
item_0069,gpt-5.2,v1,7.0,8.0,5.0,6.0,6.0,7.0,7.0,7.0,"Solid, readable summary with a neutral tone, but weakened by limited attribution, repetitive phrasing, and insufficient specificity to support key claims.",1,0,2026-07-09T16:19:10
item_0066,gpt-5.2,v1,6.0,9.0,5.0,6.0,7.0,6.0,7.0,6.0,"Solid encyclopedic content and organization, but a notable incomplete/grammatical error and lack of sourcing cues pull the quality down from good.",1,0,2026-07-09T16:19:11
item_0071,gpt-5.2,v1,8.0,10,6.0,7.0,8.0,8.0,9.0,8.0,"Strong encyclopedic paragraph—clear, neutral, and information-rich—held back mainly by lack of explicit sourcing and a bit of density in phrasing.",1,0,2026-07-09T16:19:12
item_0065,gpt-5.2,v1,7.0,9.0,6.0,5.0,6.0,8.0,7.0,7.0,"A solid, readable, neutral summary of early Southern Revolutionary actions, but weakened by topic drift away from the stated siege and by lack of sourcing/attribution for broad outcome claims.",1,0,2026-07-09T16:19:12
item_0070,gpt-5.2,v1,7.0,9.0,5.0,6.0,7.0,7.0,7.0,7.0,"Solid, neutral encyclopedia-style micro-passage with clear intent and useful content, but weakened by jargon and lack of attribution/definition for key terms.",1,0,2026-07-09T16:19:12
item_0075,gpt-5.2,v1,7.0,7.0,4.0,6.0,8.0,8.0,7.0,7.0,"Solid, coherent encyclopedic prose with good flow and a clear point, but weakened by limited context and low apparent sourcing/attribution.",1,0,2026-07-09T16:19:14
item_0074,gpt-5.2,v1,8.0,7.0,4.0,5.0,8.0,7.0,7.0,6.0,"Clear and informative as a quick summary, but falls short of strong encyclopedic quality due to weak attribution/sourcing cues and missing methodological context.",1,0,2026-07-09T16:19:14
item_0076,gpt-5.2,v1,7.0,10,6.0,5.0,6.0,7.0,7.0,6.0,"Solid neutral statistical content, but it needs clearer framing (what population), better formatting, and more precise sourcing to meet stronger encyclopedic standards.",1,0,2026-07-09T16:19:15
item_0073,gpt-5.2,v1,5.0,7.0,3.0,4.0,3.0,5.0,5.0,4.0,"Readable but notably flawed as an encyclopedic paragraph due to poor coherence/structure and weak verifiability, with an apparent missing quotation and uneven focus.",1,0,2026-07-09T16:19:16
item_0072,gpt-5.2,v1,7.0,6.0,4.0,6.0,7.0,7.0,7.0,6.0,"A solid, informative mini-survey with good readability and organization, but weakened by unsourced, somewhat loaded claims and a couple of stylistic/notation quirks.",1,0,2026-07-09T16:19:16
item_0077,gpt-5.2,v1,8.0,8.0,6.0,6.0,8.0,8.0,7.0,7.0,"Solid concise encyclopedia-style summary with clear flow and mostly neutral tone, but limited detail and weak attribution reduce verifiability and depth.",1,0,2026-07-09T16:19:16
item_0079,gpt-5.2,v1,8.0,10,5.0,6.0,8.0,9.0,7.0,7.0,"Solid encyclopedic prose—clear, neutral, and concise—but weakened by lack of sourcing cues and limited contextual detail.",1,0,2026-07-09T16:19:17
item_0078,gpt-5.2,v1,6.0,9.0,4.0,6.0,6.0,5.0,7.0,6.0,"Informative and mostly neutral, but weakened by awkward prose and low apparent sourcing/verifiability for technical claims.",1,0,2026-07-09T16:19:17
item_0081,gpt-5.2,v1,7.0,9.0,5.0,6.0,7.0,7.0,8.0,7.0,"Solid, neutral encyclopedic prose that is informative but somewhat jargon-dense and weakened by lack of explicit sourcing/attribution.",1,0,2026-07-09T16:19:18
item_0080,gpt-5.2,v1,5.0,8.0,3.0,5.0,6.0,5.0,7.0,5.0,"A moderately informative summary in an encyclopedic tone, but weakened by jargon-heavy phrasing, some unclear formulations, and lack of attribution/citations for interpretive claims.",1,0,2026-07-09T16:19:18
item_0082,gpt-5.2,v1,7.0,6.0,3.0,5.0,6.0,6.0,6.0,5.0,"A clear but lightly dramatized, unsourced character note that reads more like a plot-summary list entry than polished encyclopedic writing.",1,0,2026-07-09T16:19:20
item_0083,gpt-5.2,v1,7.0,8.0,4.0,6.0,7.0,7.0,7.0,6.0,"A solid, mostly neutral overview with useful examples, but weakened by listiness, minor awkward phrasing, and especially lack of attributable sourcing for its general claims.",1,0,2026-07-09T16:19:21
item_0085,gpt-5.2,v1,7.0,9.0,8.0,7.0,7.0,7.0,9.0,8.0,"A solid, neutral, data-driven encyclopedic paragraph that is well-attributed and informative, but somewhat list-like and taxing to read due to density.",1,0,2026-07-09T16:19:22
item_0084,gpt-5.2,v1,6.0,9.0,6.0,7.0,5.0,6.0,8.0,6.0,"Strongly informative and generally neutral, but the prose is overly compressed into one complex sentence, hurting clarity, structure, and ease of verification.",1,0,2026-07-09T16:19:22
item_0088,gpt-5.2,v1,5.0,7.0,4.0,6.0,6.0,6.0,8.0,6.0,"Informative and broadly encyclopedic in intent, but weakened by jargon-heavy, convoluted prose and a lack of explicit sourcing/attribution for contentious scholarly claims.",1,0,2026-07-09T16:19:23
item_0089,gpt-5.2,v1,7.0,7.0,4.0,6.0,6.0,6.0,7.0,6.0,"A serviceable character synopsis with decent clarity and information density, but weakened by fragmentary style and lack of attribution for interpretive statements.",1,0,2026-07-09T16:19:23
item_0086,gpt-5.2,v1,7.0,8.0,5.0,6.0,7.0,7.0,7.0,7.0,"A solid, readable encyclopedic snapshot with clear chronology and useful facts, but weakened by lack of sourcing signals, a couple of vague/awkward phrases, and an abrupt ending.",1,0,2026-07-09T16:19:23
item_0087,gpt-5.2,v1,7.0,8.0,6.0,7.0,7.0,8.0,8.0,7.0,"Solid encyclopedic paragraph with clear data and mostly neutral tone, held back by limited explicit attribution and a couple of temporal/flow issues.",1,0,2026-07-09T16:19:24
item_0090,gpt-5.2,v1,7.0,4.0,3.0,5.0,7.0,6.0,6.0,5.0,"Readable and coherent, but falls short of encyclopedic quality due to non-neutral phrasing and weak verifiability/attribution for myth variants.",1,0,2026-07-09T16:19:24
item_0091,gpt-5.2,v1,6.0,10,6.0,7.0,8.0,6.0,7.0,7.0,"A solid, neutral introductory explanation with good organization, but the apparent loss of mathematical notation materially undermines clarity and readability.",1,0,2026-07-09T16:19:24
item_0092,gpt-5.2,v1,5.0,9.0,4.0,6.0,6.0,6.0,7.0,6.0,"A solid, neutral technical summary with good density, but compromised by missing data fields and lack of attribution, which notably hurt clarity and verifiability.",1,0,2026-07-09T16:19:26
item_0093,gpt-5.2,v1,7.0,9.0,7.0,7.0,8.0,7.0,9.0,8.0,Strong encyclopedic passage—neutral and information-rich—with minor readability/clarity issues due to density and lack of in-text sourcing.,1,0,2026-07-09T16:19:26
item_0094,gpt-5.2,v1,7.0,9.0,6.0,7.0,7.0,7.0,8.0,7.0,"Solid encyclopedic paragraph: neutral and information-rich, with minor prose roughness and weaker explicit sourcing/attribution.",1,0,2026-07-09T16:19:27
item_0096,gpt-5.2,v1,9.0,8.0,6.0,7.0,9.0,9.0,7.0,8.0,"Strong, clear, and coherent narrative with mostly encyclopedic tone; main weakness is lack of explicit sourcing and a few arguably undue details.",1,0,2026-07-09T16:19:29
item_0100,gpt-5.2,v1,6.0,8.0,5.0,5.0,7.0,6.0,6.0,6.0,"Serviceable encyclopedic prose with minor organizational issues, but weakened by missing quantitative detail and limited sourcing.",1,0,2026-07-09T16:19:29
item_0098,gpt-5.2,v1,6.0,8.0,4.0,5.0,6.0,6.0,7.0,6.0,"Solid factual content with acceptable neutrality, but weakened by awkward phrasing, limited sourcing signals, and an unresolved/unclear point that undercuts completeness.",1,0,2026-07-09T16:19:30
item_0097,gpt-5.2,v1,8.0,6.0,3.0,5.0,7.0,7.0,7.0,6.0,"A clear, serviceable plot-summary paragraph with minor neutrality/register issues and weak verifiability and context typical of an unsourced character synopsis.",1,0,2026-07-09T16:19:30
item_0095,gpt-5.2,v1,7.0,8.0,4.0,5.0,6.0,7.0,6.0,6.0,"A readable, broadly encyclopedic paragraph with clear intent and decent examples, but weakened by lack of attribution, limited specificity, and somewhat list-like development.",1,0,2026-07-09T16:19:30
item_0099,gpt-5.2,v1,8.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,"Solid encyclopedic paragraph: clear, coherent, and information-rich, with minor neutrality issues and the main weakness being lack of explicit sourcing for interpretive claims.",1,0,2026-07-09T16:19:30
item_0101,gpt-5.2,v1,4.0,7.0,3.0,5.0,4.0,4.0,6.0,4.0,"An encyclopedic-sounding passage with meaningful content, but undermined by missing text, weak coherence, and unsupported interpretive claims.",1,0,2026-07-09T16:19:31
