item_id,text,source_dataset,char_count
item_0025,"When Hera discovered that Leto was pregnant with Zeus' child, she decreed that Leto can give birth only in a place where sun does not shine. During this time, the monster Python also started hounding Leto with an intent of killing her, because he had foreseen his death coming at the hands of Leto's offspring. However, on Zeus' orders, Boreas carried away Leto and entrusted her to Poseidon. To protect her, Poseidon took her to the island Ortygia and covered it with waves so that the sun would not shine on it. Leto gave birth clinging to an olive tree and henceforth the island was called Delos.",wikimedia/wikipedia,599
item_0026,"The teaching of anatomy in Britain was transformed by Sir John Struthers, Regius Professor of Anatomy at the University of Aberdeen from 1863 to 1889. He was responsible for setting up the system of three years of ""pre-clinical"" academic teaching in the sciences underlying medicine, including especially anatomy. This system lasted until the reform of medical training in 1993 and 2003. As well as teaching, he collected many vertebrate skeletons for his museum of comparative anatomy, published over 70 research papers, and became famous for his public dissection of the Tay Whale. From 1822 the Royal College of Surgeons regulated the teaching of anatomy in medical schools. Medical museums provided examples in comparative anatomy, and were often used in teaching. Ignaz Semmelweis investigated puerperal fever and he discovered how it was caused. He noticed that the frequently fatal fever occurred more often in mothers examined by medical students than by midwives. The students went from the dissecting room to the hospital ward and examined women in childbirth. Semmelweis showed that when the trainees washed their hands in chlorinated lime before each clinical examination, the incidence of puerperal fever among the mothers could be reduced dramatically.",wikimedia/wikipedia,1266
item_0027,"ANSI also designates specific standards as American National Standards, or ANS, when the Institute determines that the standards were developed in an environment that is equitable, accessible and responsive to the requirements of various stakeholders.",wikimedia/wikipedia,251
item_0028,"Private vehicle ownership has increased substantially since the early 2000s. Taxis are yellow and consist of both cars and auto rickshaws. In rural Afghanistan, villagers often use donkeys, mules or horses to transport or carry goods. Camels are primarily used by the Kochi nomads. Bicycles are popular throughout Afghanistan.",wikimedia/wikipedia,326
item_0029,"Tarkovsky studied film at Moscow's VGIK under filmmaker Mikhail Romm, and subsequently directed his first five features in the Soviet Union: Ivan's Childhood (1962), Andrei Rublev (1966), Solaris (1972), Mirror (1975), and Stalker (1979). A number of his films from this period are ranked among the best films ever made. After years of creative conflict with state film authorities, Tarkovsky left the country in 1979 and made his final two films abroad; Nostalghia (1983) and The Sacrifice (1986) were produced in Italy and Sweden respectively. In 1986, he also published an influential book about cinema and art entitled Sculpting in Time. He died later that year of cancer, a condition possibly caused by the toxic locations used in the filming of Stalker.",wikimedia/wikipedia,759
item_0030,"A, or a, is the first letter and the first vowel of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is a (pronounced ), plural aes. It is similar in shape to the Ancient Greek letter Alpha, from which it derives. The uppercase version consists of the two slanting sides of a triangle, crossed in the middle by a horizontal bar. The lowercase version can be written in two forms: the double-storey a and single-storey ɑ. The latter is commonly used in handwriting and fonts based on it, especially fonts intended to be read by children, and is also found in italic type.",wikimedia/wikipedia,670
item_0031,"As Southern states fell, they needed leaders while their administrations were restored. In Tennessee and Arkansas, Lincoln respectively appointed Johnson and Frederick Steele as military governors. In Louisiana, Lincoln ordered General Nathaniel P. Banks to promote a plan that would reestablish statehood when 10 percent of the voters agreed, and only if the reconstructed states abolished slavery. Democratic opponents accused Lincoln of using the military to ensure his and the Republicans' political aspirations. The Radicals denounced his policy as too lenient, and passed their own plan, the 1864 Wade–Davis Bill, which Lincoln vetoed. The Radicals retaliated by refusing to seat elected representatives from Louisiana, Arkansas, and Tennessee.",wikimedia/wikipedia,750
item_0032,"The FAPLA's main counterinsurgency effort was directed against UNITA in the southeast, and its conventional capabilities were demonstrated principally in the undeclared South African Border War. The FAPLA first performed its external assistance mission with the dispatch of 1,000 to 1,500 troops to São Tomé and Príncipe in 1977 to bolster the socialist regime of President Manuel Pinto da Costa. During the next several years, Angolan forces conducted joint exercises with their counterparts and exchanged technical operational visits. The Angolan expeditionary force was reduced to about 500 in early 1985.",wikimedia/wikipedia,608
item_0033,"Apple has created subsidiaries in low-tax places such as Ireland, the Netherlands, Luxembourg, and the British Virgin Islands to cut the taxes it pays around the world. According to The New York Times, in the 1980s Apple was among the first tech companies to designate overseas salespeople in high-tax countries in a manner that allowed the company to sell on behalf of low-tax subsidiaries on other continents, sidestepping income taxes. In the late 1980s, Apple was a pioneer of an accounting technique known as the ""Double Irish with a Dutch sandwich"", which reduces taxes by routing profits through Irish subsidiaries and the Netherlands and then to the Caribbean.",wikimedia/wikipedia,668
item_0034,"Although the name applies to a group of snakes, it is often used to refer only to one species, in particular, the common or green anaconda (Eunectes murinus), which is the largest snake in the world by weight, and the second longest after the reticulated python.",wikimedia/wikipedia,262
item_0035,"A prosperous and longstanding revolution erupted after the formation of the Assembly of Lezhë until the Siege of Shkodër under the leadership of Gjergj Kastrioti Skanderbeg, multiple times defeating major Ottoman armies led by Sultans Murad II and Mehmed II. Skanderbeg managed to gather several of the Albanian principals, amongst them the Arianitis, Dukagjinis, Zaharias and Thopias, and establish a centralised authority over most of the non-conquered territories, becoming the Lord of Albania. Skanderbeg consistently pursued the goal relentlessly but rather unsuccessfully to constitute a European coalition against the Ottomans. He thwarted every attempt by the Ottomans to regain Albania, which they envisioned as a springboard for the invasion of Western Europe. His unequal fight against them won financial and military aid from the Papacy and Naples, Venice and Ragusa.",wikimedia/wikipedia,879
item_0036,"In ancient times, the Illyrians inhabited northern and central regions of Albania, whilst Epirotes inhabited the south. Several important ancient Greek colonies were also established on the coast. In the 2nd century BCE, the region was annexed by the Roman Republic, and after the division of the Roman Empire it became part of Byzantium. The first known Albanian autonomous principality – Arbanon – was established in the 12th century. The Kingdom of Albania, Principality of Albania and Albania Veneta were formed between the 13th and 15th centuries in different parts of the country, alongside other Albanian principalities and political entities. In the late 15th century, Albania became part of the Ottoman Empire until 1912, when the modern Albanian state declared independence. In 1939, the Kingdom of Albania was invaded by Italy, which became Greater Albania, and then a protectorate of Nazi Germany during World War II. Following the war, the People's Socialist Republic of Albania was formed, which lasted until the Revolutions of 1991 concluded with the fall of communism in Albania and eventually the establishment of the current Republic of Albania.",wikimedia/wikipedia,1163
item_0037,"The fort of Massaga was reduced only after days of bloody fighting, in which Alexander was wounded seriously in the ankle. According to Curtius, ""Not only did Alexander slaughter the entire population of Massaga, but also did he reduce its buildings to rubble."" A similar slaughter followed at Ora. In the aftermath of Massaga and Ora, numerous Assakenians fled to the fortress of Aornos. Alexander followed close behind and captured the strategic hill-fort after four bloody days.",wikimedia/wikipedia,481
item_0038,"Hundreds of other organizations exist in the various sub-fields of anthropology, sometimes divided up by nation or region, and many anthropologists work with collaborators in other disciplines, such as geology, physics, zoology, paleontology, anatomy, music theory, art history, sociology and so on, belonging to professional societies in those disciplines as well.",wikimedia/wikipedia,365
item_0039,"The name Apollo—unlike the related older name Paean—is generally not found in the Linear B (Mycenean Greek) texts, although there is a possible attestation in the lacunose form ]pe-rjo-[ (Linear B: ]-[) on the KN E 842 tablet, though it has also been suggested that the name might actually read ""Hyperion"" ([u]-pe-rjo-[ne]).",wikimedia/wikipedia,324
item_0040,"Stop-motion animation is used to describe animation created by physically manipulating real-world objects and photographing them one frame of film at a time to create the illusion of movement. There are many different types of stop-motion animation, usually named after the materials used to create the animation. Computer software is widely available to create this type of animation; traditional stop-motion animation is usually less expensive but more time-consuming to produce than current computer animation.",wikimedia/wikipedia,513
item_0041,"Mohammed Zahir Shah succeeded to the throne and reigned as king from 1933 to 1973. During the tribal revolts of 1944–1947, King Zahir's reign was challenged by Zadran, Safi, Mangal, and Wazir tribesmen led by Mazrak Zadran, Salemai, and Mirzali Khan, among others – many of whom were Amanullah loyalists. Afghanistan joined the League of Nations in 1934. The 1930s saw the development of roads, infrastructure, the founding of a national bank, and increased education. Road links in the north played a large part in a growing cotton and textile industry. The country built close relationships with the Axis powers, with Nazi Germany having the largest share in Afghan development at the time.",wikimedia/wikipedia,692
item_0042,"ASCII was first used commercially during 1963 as a seven-bit teleprinter code for American Telephone & Telegraph's TWX (TeletypeWriter eXchange) network. TWX originally used the earlier five-bit ITA2, which was also used by the competing Telex teleprinter system. Bob Bemer introduced features such as the escape sequence. His British colleague Hugh McGregor Ross helped to popularize this work according to Bemer, ""so much so that the code that was to become ASCII was first called the Bemer–Ross Code in Europe"". Because of his extensive work on ASCII, Bemer has been called ""the father of ASCII"".",wikimedia/wikipedia,599
item_0043,"Aries is now recognized as an official constellation, albeit as a specific region of the sky, by the International Astronomical Union. It was originally defined in ancient texts as a specific pattern of stars, and has remained a constellation since ancient times; it now includes the ancient pattern and the surrounding stars. In the description of the Babylonian zodiac given in the clay tablets known as the MUL.APIN, the constellation, now known as Aries, was the final station along the ecliptic. The MUL.APIN was a comprehensive table of the rising and settings of stars, which likely served as an agricultural calendar. Modern-day Aries was known as , ""The Agrarian Worker"" or ""The Hired Man"". Although likely compiled in the 12th or 11th century BC, the MUL.APIN reflects a tradition that marks the Pleiades as the vernal equinox, which was the case with some precision at the beginning of the Middle Bronze Age. The earliest identifiable reference to Aries as a distinct constellation comes from the boundary stones that date from 1350 to 1000 BC. On several boundary stones, a zodiacal ram figure is distinct from the other characters. The shift in identification from the constellation as the Agrarian Worker to the Ram likely occurred in later Babylonian tradition because of its growing association with Dumuzi the Shepherd. By the time the MUL.APIN was created—in 1000 BC—modern Aries was identified with both Dumuzi's ram and a hired labourer. The exact timing of this shift is difficult to determine due to the lack of images of Aries or other ram figures.",wikimedia/wikipedia,1571
item_0044,"At a press conference in Milan on 10 July 1984, he announced that he would never return to the Soviet Union and would remain in Western Europe. He stated, ""I am not a Soviet dissident, I have no conflict with the Soviet Government,"" but if he returned home, he added, ""I would be unemployed."" At that time, his son Andriosha was still in the Soviet Union and not allowed to leave the country. On 28 August 1985, Tarkovsky was processed as a Soviet Defector at a refugee camp in Latina, Italy, registered with the serial number 13225/379, and officially welcomed to the West.",wikimedia/wikipedia,574
item_0045,"Aardvarks are found in sub-Saharan Africa, where suitable habitat (savannas, grasslands, woodlands and bushland) and food (i.e., ants and termites) is available. They spend the daylight hours in dark burrows to avoid the heat of the day. The only major habitat that they are not present in is swamp forest, as the high water table precludes digging to a sufficient depth. They also avoid terrain rocky enough to cause problems with digging. They have been documented as high as in Ethiopia. They are present throughout sub-Saharan Africa all the way to South Africa with few exceptions including the coastal areas of Namibia, Ivory Coast, and Ghana. They are not found in Madagascar.",wikimedia/wikipedia,683
item_0046,"In November 1813 Goethe invited Schopenhauer to help him on his Theory of Colours. Although Schopenhauer considered colour theory a minor matter, he accepted the invitation out of admiration for Goethe. Nevertheless, these investigations led him to his most important discovery in epistemology: finding a demonstration for the a priori nature of causality.",wikimedia/wikipedia,356
item_0047,"There is a set that can be partitioned into strictly more equivalence classes than the original set has elements, and a function whose domain is strictly smaller than its range. In fact, this is the case in all known models.",wikimedia/wikipedia,224
item_0048,"Various sciences relating to agricultural resources and the environment (e.g. soil science, agroclimatology); biology of agricultural crops and animals (e.g. crop science, animal science and their included sciences, e.g. ruminant nutrition, farm animal welfare); such fields as agricultural economics and rural sociology; various disciplines encompassed in agricultural engineering.",wikimedia/wikipedia,382
item_0049,"The largest aircraft by dimensions and volume (as of 2016) is the long British Airlander 10, a hybrid blimp, with helicopter and fixed-wing features, and reportedly capable of speeds up to , and an airborne endurance of two weeks with a payload of up to .",wikimedia/wikipedia,255
item_0050,"Honors and tributes flowed to Bell in increasing numbers as his invention became ubiquitous and his personal fame grew. Bell received numerous honorary degrees from colleges and universities to the point that the requests almost became burdensome. During his life, he also received dozens of major awards, medals, and other tributes. These included statuary monuments to both him and the new form of communication his telephone created, including the Bell Telephone Memorial erected in his honor in Alexander Graham Bell Gardens in Brantford, Ontario, in 1917.",wikimedia/wikipedia,560
item_0051,"Ueshiba's senior students have different approaches to aikido, depending partly on when they studied with him. Today, aikido is found all over the world in a number of styles, with broad ranges of interpretation and emphasis. However, they all share techniques formulated by Ueshiba and most have concern for the well-being of the attacker.",wikimedia/wikipedia,340
item_0052,"It is frequently important to know how much of a particular resource (such as time or storage) is theoretically required for a given algorithm. Methods have been developed for the analysis of algorithms to obtain such quantitative answers (estimates); for example, an algorithm which adds up the elements of a list of n numbers would have a time requirement of , using big O notation. At all times the algorithm only needs to remember two values: the sum of all the elements so far, and its current position in the input list. Therefore, it is said to have a space requirement of , if the space required to store the input numbers is not counted, or if it is counted.",wikimedia/wikipedia,667
item_0053,"In 2016, American five-piece girl group Fifth Harmony performed a rendition to honor the United States women's national soccer team on defeating Japan 5–2 in the Final to win the 2015 FIFA Women's World Cup last July at BC Place in Vancouver, British Columbia, Canada before an undisputed AT&T Stadium audience of 101,763 to open WrestleMania 32 in Dallas, Texas.",wikimedia/wikipedia,363
item_0054,"Aristotle believed the chain of thought, which ends in recollection of certain impressions, was connected systematically in relationships such as similarity, contrast, and contiguity, described in his laws of association. Aristotle believed that past experiences are hidden within the mind. A force operates to awaken the hidden material to bring up the actual experience. According to Aristotle, association is the power innate in a mental state, which operates upon the unexpressed remains of former experiences, allowing them to rise and be recalled.",wikimedia/wikipedia,553
item_0055,"the sum of squares (SS), the result is called the mean square (MS) and the squared terms are deviations from the sample mean. ANOVA estimates 3 sample variances: a total variance based on all the observation deviations from the grand mean, an error variance based on all the observation deviations from their appropriate treatment means, and a treatment variance. The treatment variance is based on the deviations of treatment means from the grand mean, the result being multiplied by the number of observations in each treatment to account for the difference between the variance of observations and the variance of means.",wikimedia/wikipedia,623
item_0056,"A standard for the set of values used to represent characters in digital computers. The ANSI code standard extended the previously created ASCII seven bit code standard (ASA X3.4-1963), with additional codes for European alphabets (see also Extended Binary Coded Decimal Interchange Code or EBCDIC). In Microsoft Windows, the phrase ""ANSI"" refers to the Windows ANSI code pages (even though they are not ANSI standards). Most of these are fixed width, though some characters for ideographic languages are variable width. Since these characters are based on a draft of the ISO-8859 series, some of Microsoft's symbols are visually very similar to the ISO symbols, leading many to falsely assume that they are identical.",wikimedia/wikipedia,718
item_0057,"In 1300, Amsterdam's population was around 1,000 people. While many towns in Holland experienced population decline during the 15th and 16th centuries, Amsterdam's population grew, mainly due to the rise of the profitable Baltic maritime trade especially in grain after the Burgundian victory in the Dutch–Hanseatic War in 1441. The population of Amsterdam was only modest compared to the towns and cities of Flanders and Brabant, which comprised the most urbanized area of the Low Countries.",wikimedia/wikipedia,492
item_0058,"The command module Columbia went on a tour of the United States, visiting 49 state capitals, the District of Columbia, and Anchorage, Alaska. In 1971, it was transferred to the Smithsonian Institution, and was displayed at the National Air and Space Museum (NASM) in Washington, DC. It was in the central Milestones of Flight exhibition hall in front of the Jefferson Drive entrance, sharing the main hall with other pioneering flight vehicles such as the Wright Flyer, Spirit of St. Louis, Bell X-1, North American X-15 and Friendship 7.",wikimedia/wikipedia,538
item_0059,"The languages in Angola are those originally spoken by the different ethnic groups and Portuguese, introduced during the Portuguese colonial era. The most widely spoken indigenous languages are Umbundu, Kimbundu and Kikongo, in that order. Portuguese is the official language of the country.",wikimedia/wikipedia,291
item_0060,"Philosophical anarchism has met the criticism of members of academia following the release of pro-anarchist books such as A. John Simmons' Moral Principles and Political Obligations. Law professor William A. Edmundson authored an essay to argue against three major philosophical anarchist principles which he finds fallacious. Edmundson says that while the individual does not owe the state a duty of obedience, this does not imply that anarchism is the inevitable conclusion and the state is still morally legitimate. In The Problem of Political Authority, Michael Huemer defends philosophical anarchism, claiming that ""political authority is a moral illusion.""",wikimedia/wikipedia,662
item_0061,"""Anaconda"" is also used as a metaphor for an action aimed at constricting and suffocating an opponent – for example, the Anaconda Plan proposed at the beginning of the American Civil War, in which the Union Army was to effectively ""suffocate"" the Confederacy. Another example is the anaconda choke in the martial art Brazilian jiu-jitsu, which is performed by wrapping your arms under the opponent's neck and through the armpit, and grasping the biceps of the opposing arm, when caught in this move, you will lose consciousness if you do not tap out.",wikimedia/wikipedia,550
item_0062,"Effective method' is used here in the rather special sense of a method each step of which is precisely determined and which is certain to produce the answer in a finite number of steps. With this special meaning, three different precise definitions have been given to date. [his footnote #5; see discussion immediately below]. The simplest of these to state (due to Post and Turing) says essentially that an effective method of solving certain sets of problems exists if one can build a machine which will then solve any problem of the set with no human intervention beyond inserting the question and (later) reading the answer. All three definitions are equivalent, so it doesn't matter which one is used. Moreover, the fact that all three are equivalent is a very strong argument for the correctness of any one."" (Rosser 1939:225–226)",wikimedia/wikipedia,836
item_0063,"Almost all species have a tight cluster of leaves (a rosette), either at the base of the plant or at the end of a more-or-less woody stem as with Yucca. In some cases, the leaves are produced along the stem. The flowers are in the main not particularly distinctive, being of a general 'lily type', with six tepals, either free or fused from the base and up to six stamina. They are frequently clustered at the end of the plant stem.",wikimedia/wikipedia,432
item_0064,"The Sibyl of Cumae like Cassandra promised Apollo her love if he would give her a boon. The Sibyl took a handful of sand and asked Apollo to grant her years of life as many as the grains of sand she held in her hands. Apollo granted her wish, but Sibyl went back on her word. Although Sibyl did live an extended life as Apollo had promised, he did not give her agelessness along with it, so she shrivelled and shrank and only her voice remained.",wikimedia/wikipedia,445
